t=2025-06-27T10:26:09+0100 lvl=info msg="no configuration paths supplied"
t=2025-06-27T10:26:09+0100 lvl=info msg="using configuration at default config path" path="/Users/bamikaleamupitan/Library/Application Support/ngrok/ngrok.yml"
t=2025-06-27T10:26:09+0100 lvl=info msg="open config file" path="/Users/bamikaleamupitan/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-06-27T10:39:32+0100 lvl=info msg="join connections" obj=join id=3851b8b48e5a l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:32+0100 lvl=info msg="join connections" obj=join id=62db5518f22c l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:32+0100 lvl=info msg="join connections" obj=join id=239e55ae41dc l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:33+0100 lvl=info msg="join connections" obj=join id=74bb52b0d9ca l=[::1]:3000 r=87.249.132.153:48734
t=2025-06-27T10:39:33+0100 lvl=info msg="join connections" obj=join id=c65bb5228fce l=[::1]:3000 r=87.249.132.153:48734
t=2025-06-27T10:39:33+0100 lvl=info msg="join connections" obj=join id=3fdc1ab5ec50 l=[::1]:3000 r=87.249.132.153:48738
t=2025-06-27T10:39:34+0100 lvl=info msg="join connections" obj=join id=8f096cacfbb3 l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:36+0100 lvl=info msg="join connections" obj=join id=8b819b019900 l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:37+0100 lvl=info msg="join connections" obj=join id=e36427ef2687 l=[::1]:3000 r=87.249.132.153:48740
t=2025-06-27T10:39:37+0100 lvl=info msg="join connections" obj=join id=882c5a78f565 l=[::1]:3000 r=87.249.132.153:48756
t=2025-06-27T10:39:37+0100 lvl=info msg="join connections" obj=join id=9f67a0fd430c l=[::1]:3000 r=87.249.132.153:48756
t=2025-06-27T10:39:39+0100 lvl=info msg="join connections" obj=join id=cc2a1c4f1fcf l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:41+0100 lvl=info msg="join connections" obj=join id=115e994a3726 l=[::1]:3000 r=87.249.132.153:43302
t=2025-06-27T10:39:41+0100 lvl=info msg="join connections" obj=join id=31a1192fc17d l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:43+0100 lvl=info msg="join connections" obj=join id=9b73b6d0f13a l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:44+0100 lvl=info msg="join connections" obj=join id=9e997c18164b l=[::1]:3000 r=87.249.132.153:43776
t=2025-06-27T10:39:45+0100 lvl=info msg="join connections" obj=join id=7413b4321f0d l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:46+0100 lvl=info msg="join connections" obj=join id=95d9846f173a l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:46+0100 lvl=info msg="join connections" obj=join id=7cb5a0114374 l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:47+0100 lvl=info msg="join connections" obj=join id=79b88cc95507 l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:47+0100 lvl=info msg="join connections" obj=join id=79f17e246a5c l=[::1]:3000 r=87.249.132.153:43784
t=2025-06-27T10:39:47+0100 lvl=info msg="join connections" obj=join id=7f80c712f779 l=[::1]:3000 r=87.249.132.153:43786
t=2025-06-27T10:39:47+0100 lvl=info msg="join connections" obj=join id=e8fae9d17bdc l=[::1]:3000 r=87.249.132.153:43784
t=2025-06-27T10:39:49+0100 lvl=info msg="join connections" obj=join id=5cef91d06bda l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:51+0100 lvl=info msg="join connections" obj=join id=37639d260c3e l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:52+0100 lvl=info msg="join connections" obj=join id=06db4d05caff l=[::1]:3000 r=87.249.132.153:42044
t=2025-06-27T10:39:52+0100 lvl=info msg="join connections" obj=join id=920d55915f7b l=[::1]:3000 r=87.249.132.153:42042
t=2025-06-27T10:39:52+0100 lvl=info msg="join connections" obj=join id=bbfcd7af5319 l=[::1]:3000 r=87.249.132.153:42042
t=2025-06-27T10:39:53+0100 lvl=info msg="join connections" obj=join id=f36e82b7c4d6 l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:55+0100 lvl=info msg="join connections" obj=join id=32e7fe171b02 l=[::1]:3000 r=87.249.132.153:53888
t=2025-06-27T10:39:55+0100 lvl=info msg="join connections" obj=join id=4ee0ebb221ac l=[::1]:3000 r=87.249.132.153:41624
t=2025-06-27T10:39:57+0100 lvl=info msg="join connections" obj=join id=cd5b1240d369 l=[::1]:3000 r=87.249.132.153:46972
t=2025-06-27T10:39:58+0100 lvl=info msg="join connections" obj=join id=5e31b7796940 l=[::1]:3000 r=87.249.132.153:46972
t=2025-06-27T10:39:58+0100 lvl=info msg="join connections" obj=join id=7daa3115154d l=[::1]:3000 r=87.249.132.153:46972
t=2025-06-27T10:39:58+0100 lvl=info msg="join connections" obj=join id=e009e3412dcc l=[::1]:3000 r=87.249.132.153:48100
t=2025-06-27T10:39:58+0100 lvl=info msg="join connections" obj=join id=ff79cda23fdc l=[::1]:3000 r=87.249.132.153:48090
